pixel_index channel old_value new_value difference
3807 0 0 63 63
3809 0 0 65 65
3811 0 0 63 63
3813 0 0 62 62
3815 0 0 66 66
3817 0 0 65 65
3819 0 0 65 65
3821 0 0 65 65
3823 0 0 62 62
3825 0 0 62 62
3827 0 0 60 60
3829 0 0 59 59
3831 0 0 63 63
3833 0 0 60 60
3835 0 0 59 59
3837 0 0 61 61
3841 0 0 60 60
3843 0 0 64 64
3845 0 0 64 64
3847 0 0 61 61
3849 0 0 61 61
3851 0 0 58 58
3853 0 0 58 58
3855 0 0 63 63
3857 0 0 63 63
3859 0 0 60 60
3861 0 0 62 62
3863 0 0 65 65
3865 0 0 62 62
3867 0 0 60 60
3869 0 0 60 60
3871 0 0 62 62
3873 0 0 65 65
3875 0 0 63 63
3877 0 0 61 61
3879 0 0 61 61
3881 0 0 63 63
3883 0 0 63 63
3885 0 0 61 61
3887 0 0 60 60
3889 0 0 60 60
3891 0 0 59 59
3893 0 0 60 60
3895 0 0 61 61
3897 0 0 59 59
3899 0 0 60 60
3901 0 0 61 61
3903 0 0 60 60
3905 0 0 59 59
3907 0 0 59 59
3909 0 0 63 63
3911 0 0 65 65
3913 0 0 62 62
3915 0 0 63 63
3917 0 0 63 63
3919 0 0 60 60
3921 0 0 61 61
3923 0 0 56 56
3925 0 0 55 55
3927 0 0 61 61
3929 0 0 58 58
3931 0 0 57 57
3933 0 0 61 61
3935 0 0 58 58
3937 0 0 58 58
3939 0 0 60 60
3941 0 0 59 59
3943 0 0 57 57
3945 0 0 59 59
3947 0 0 57 57
3949 0 0 56 56
3951 0 0 57 57
3953 0 0 57 57
3955 0 0 54 54
3957 0 0 56 56
3959 0 0 63 63
3961 0 0 58 58
3963 0 0 57 57
3965 0 0 58 58
3967 0 0 56 56
3969 0 0 57 57
3971 0 0 57 57
3973 0 0 57 57
3975 0 0 60 60
3977 0 0 62 62
3979 0 0 62 62
3981 0 0 59 59
3983 0 0 56 56
3985 0 0 57 57
3987 0 0 57 57
